"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Jacksonville Jaguars (JAC)","55","21","12","17","7","0","1","16","199.0","12.4","0.8%"
"2","Baltimore Ravens (BAL)","41","22","12","15","5","0","2","16","174.0","10.9","89.6%"
"3","Philadelphia Eagles (PHI)","38","19","11","12","5","0","0","16","166.0","10.4","30.7%"
"4","Los Angeles Rams (LAR)","48","18","10","17","3","2","3","16","161.0","10.1","63.8%"
"5","Los Angeles Chargers (LAC)","43","18","9","13","3","0","1","16","151.0","9.4","51.7%"
"6","Detroit Lions (DET)","35","19","13","13","5","0","2","16","144.0","9.0","1.0%"
"7","New Orleans Saints (NO)","42","20","5","15","3","0","2","16","143.0","8.9","96.3%"
"8","Seattle Seahawks (SEA)","39","14","9","10","4","2","1","16","131.0","8.2","1.0%"
"9","Pittsburgh Steelers (PIT)","56","16","6","11","0","1","1","16","131.0","8.2","44.7%"
"10","Carolina Panthers (CAR)","50","10","11","13","1","0","2","16","125.0","7.8","3.6%"
"11","Chicago Bears (CHI)","42","8","14","11","3","1","2","16","125.0","7.8","2.2%"
"12","Kansas City Chiefs (KC)","31","16","10","11","3","0","1","16","118.0","7.4","21.4%"
"13","Minnesota Vikings (MIN)","37","14","5","5","1","1","0","16","117.0","7.3","10.2%"
"14","New England Patriots (NE)","42","12","5","9","0","2","1","16","116.0","7.3","42.5%"
"15","Arizona Cardinals (ARI)","37","15","6","16","2","0","0","16","111.0","6.9","1.8%"
"16","Tennessee Titans (TEN)","43","12","9","11","1","0","0","16","111.0","6.9","32.3%"
"17","Washington Commanders (WAS)","42","16","7","12","2","0","0","16","109.0","6.8","42.8%"
"18","Dallas Cowboys (DAL)","38","10","10","13","1","0","1","16","106.0","6.6","70.0%"
"19","Denver Broncos (DEN)","33","10","7","8","4","0","0","16","106.0","6.6","52.3%"
"20","Tampa Bay Buccaneers (TB)","22","13","13","15","4","0","0","16","106.0","6.6","94.2%"
"21","Buffalo Bills (BUF)","27","18","7","13","3","0","0","16","104.0","6.5","99.0%"
"22","Atlanta Falcons (ATL)","39","8","8","11","2","0","0","16","99.0","6.2","0.7%"
"23","Cincinnati Bengals (CIN)","41","11","2","4","3","0","0","16","97.0","6.1","39.6%"
"24","Green Bay Packers (GB)","37","11","10","10","2","0","0","16","92.0","5.8","86.2%"
"25","Miami Dolphins (MIA)","30","9","6","7","3","2","0","16","90.0","5.6","22.9%"
"26","New York Giants (NYG)","27","13","6","11","2","1","0","16","88.0","5.5","1.2%"
"27","Indianapolis Colts (IND)","25","13","7","11","1","2","0","16","86.0","5.4","89.9%"
"28","Houston Texans (HOU)","32","11","5","12","4","1","0","16","82.0","5.1","0.8%"
"29","San Francisco 49ers (SF)","30","10","10","13","1","0","0","16","79.0","4.9","96.0%"
"30","Cleveland Browns (CLE)","34","7","6","14","1","0","0","16","74.0","4.6","37.7%"
"31","New York Jets (NYJ)","28","11","9","8","0","0","0","16","71.0","4.4","1.6%"
"32","Las Vegas Raiders (LV)","31","5","9","12","0","0","0","16","68.0","4.3","3.2%"
""
""