Player,FPTS,FPTS/G,Player Segment
Derrick Henry (TEN),244.70000000000002,20.75,1
Christian McCaffrey (CAR),81.95,18.7,2
Dalvin Cook (MIN),233.05,17.15,1
Alvin Kamara (NO),241.25,17.05,1
Jonathan Taylor (IND),274.95000000000005,17.05,1
Nick Chubb (CLE),193.5,15.0,1
Joe Mixon (CIN),162.25,14.25,1
Austin Ekeler (LAC),192.55,14.100000000000001,1
Aaron Jones (GB),194.45,13.45,1
Najee Harris (PIT),226.7,13.3,1
David Montgomery (CHI),182.4,12.55,1
Josh Jacobs (LV),185.15,12.35,1
James Conner (ARI),175.14999999999998,12.35,1
James Robinson (JAC),172.15,12.3,1
Elijah Mitchell (SF),146.0,12.2,1
Antonio Gibson (WAS),176.64999999999998,11.8,1
Ezekiel Elliott (DAL),188.39999999999998,11.75,1
Chris Carson (FA),96.45,11.55,2
D'Andre Swift (DET),145.35000000000002,11.2,1
Kareem Hunt (CLE),134.25,11.15,1
Melvin Gordon III (DEN),166.8,10.8,1
Damien Harris (NE),139.2,10.7,1
Leonard Fournette (TB),141.3,10.350000000000001,1
Clyde Edwards-Helaire (KC),118.75,10.3,2
Antonio Williams (NYG),10.15,10.15,0
Myles Gaskin (MIA),123.9,9.8,2
Miles Sanders (PHI),116.80000000000001,9.75,2
Javonte Williams (DEN),161.9,9.5,1
Darrell Henderson Jr. (LAR),124.35,9.399999999999999,2
Todd Gurley II (FA),138.2,9.2,1
Kenyan Drake (BAL),119.85,8.55,2
Michael Carter (NYJ),118.4,8.5,2
Rhamondre Stevenson (NE),100.9,8.4,2
Duke Johnson Jr. (BUF),55.75,8.05,2
David Johnson (FA),97.9,8.0,2
Ronald Jones II (KC),113.75,7.95,2
Devin Singletary (BUF),131.7,7.95,1
Jeff Wilson Jr. (SF),86.9,7.8500000000000005,2
Chase Edmonds (MIA),107.65,7.800000000000001,2
Mike Davis (BAL),120.85,7.65,2
Sony Michel (LAC),96.8,7.5,2
J.D. McKissic (WAS),98.15,7.35,2
Latavius Murray (FA),103.4,7.1,2
Jamaal Williams (DET),94.94999999999999,7.050000000000001,2
Chuba Hubbard (CAR),112.6,7.0,2
Tony Pollard (DAL),108.19999999999999,7.0,2
Rex Burkhead (HOU),80.94999999999999,6.800000000000001,2
Zack Moss (BUF),84.9,6.5,2
Jordan Howard (FA),45.1,6.4,2
Devonta Freeman (FA),70.8,6.4,2
Adrian Peterson (FA),67.55,6.35,2
Rashaad Penny (SEA),59.550000000000004,6.35,2
Raheem Mostert (MIA),42.85,6.25,2
Saquon Barkley (NYG),58.5,6.2,2
AJ Dillon (GB),94.94999999999999,6.2,2
Nyheim Hines (IND),101.39999999999999,6.199999999999999,2
Boston Scott (PHI),78.1,6.1,2
Alex Collins (FA),39.95,6.050000000000001,0
D'Onta Foreman (CAR),50.45,6.050000000000001,2
Salvon Ahmed (MIA),42.3,6.05,2
Derrick Gore (FA),48.1,6.0,2
Alexander Mattison (MIN),83.9,5.800000000000001,2
Kenneth Gainwell (PHI),90.4,5.7,2
Cordarrelle Patterson (ATL),91.3,5.7,2
Frank Gore (FA),84.2,5.6,2
James White (FA),43.4,5.6,2
Darrel Williams (ARI),92.75,5.550000000000001,2
Devontae Booker (FA),86.4,5.4,2
Giovani Bernard (TB),73.6,5.25,2
Brandon Bolden (LV),83.1,5.2,2
T.J. Yeldon (FA),15.2,5.1,0
Mark Ingram II (NO),64.25,5.05,2
J.K. Dobbins (BAL),75.25,5.0,2
Justin Jackson (DET),55.25,4.85,2
Carlos Hyde (FA),51.35,4.85,2
Ryquell Armstead (FA),9.6,4.8,0
Le'Veon Bell (FA),45.85,4.699999999999999,2
Ito Smith (FA),23.349999999999998,4.65,0
Wayne Gallman Jr. (FA),64.05,4.55,2
Ty Johnson (NYJ),65.15,4.55,2
JaQuan Hardy (FA),8.9,4.5,0
Reggie Bonnafon (FA),8.15,4.5,0
Malcolm Brown (FA),52.8,4.35,2
Rodney Smith (FA),16.15,4.35,0
Jermar Jefferson (DET),21.7,4.3,0
Phillip Lindsay (IND),50.2,4.2,2
Trey Sermon (PHI),25.3,4.2,0
Alfred Morris (FA),37.7,4.2,0
Jerick McKinnon (KC),58.05,4.15,2
Cam Akers (LAR),46.05,4.1499999999999995,2
Ty'Son Williams (FA),32.9,4.1,0
Khalil Herbert (CHI),64.9,4.1,2
Matt Breida (NYG),34.35,3.9499999999999997,0
Chris Evans (CIN),34.8,3.9,0
Josh Adams (FA),30.6,3.8,0
D'Ernest Johnson (CLE),51.55,3.8,2
Gus Edwards (BAL),59.6,3.75,2
Dontrell Hilliard (TEN),29.35,3.7,0
Damien Williams (ATL),44.7,3.7,2
Marlon Mack (FA),8.25,3.6999999999999997,0
Peyton Barber (FA),45.45,3.6,2
Ke'Shawn Vaughn (TB),25.450000000000003,3.6,0
Samaje Perine (CIN),55.45,3.55,2
Kyle Juszczyk (SF),53.2,3.4,2
Kerryon Johnson (FA),52.8,3.3,2
Jaret Patterson (WAS),45.9,3.3,2
Kalen Ballage (FA),34.650000000000006,3.2,0
Bo Scarbrough (FA),3.1,3.1,0
Craig Reynolds (DET),14.45,3.0,0
Patrick Taylor Jr. (GB),15.2,3.0,0
DeAndre Washington (FA),12.1,3.0,0
Travis Homer (SEA),34.8,2.95,0
La'Mical Perine (FA),22.3,2.9000000000000004,0
Joshua Kelley (LAC),35.1,2.85,0
Eno Benjamin (ARI),22.0,2.8,0
DeeJay Dallas (SEA),39.5,2.8,0
Chris Thompson (FA),22.6,2.8,0
Jeremy McNichols (PIT),38.75,2.75,0
Jason Huntley (PIT),3.5,2.75,0
JaMycal Hasty (JAC),25.3,2.7,0
Austin Walter (LV),10.0,2.55,0
Tevin Coleman (FA),24.6,2.4000000000000004,0
Benny Snell Jr. (PIT),38.0,2.4,0
J.J. Taylor (NE),12.95,2.4,0
Dion Lewis (FA),38.2,2.4,0
Brian Hill (FA),35.2,2.2,0
Demetric Felton Jr. (CLE),32.5,2.2,0
Ameer Abdullah (LV),36.75,2.2,0
Dare Ogunbowale (HOU),28.5,2.15,0
Kene Nwangwu (MIN),19.0,2.1,0
Troymaine Pope (FA),11.8,2.0,0
Nick Bawden (NYJ),2.0,2.0,0
Tyler Ervin (FA),15.1,1.9,0
Tarik Cohen (FA),5.75,1.9,0
Jalen Richard (FA),21.65,1.85,0
Royce Freeman (HOU),24.85,1.85,0
Darrynton Evans (CHI),7.95,1.8499999999999999,0
Deon Jackson (IND),9.1,1.8,0
Jonathan Williams (WAS),8.65,1.7,0
Jordan Wilkins (FA),24.65,1.65,0
Alec Ingold (MIA),16.0,1.6,0
Corey Clement (FA),19.45,1.6,0
Ty Montgomery (NE),13.350000000000001,1.55,0
Trayveon Williams (CIN),11.1,1.5499999999999998,0
Trey Ragas (LAR),1.5,1.5,0
Tony Jones Jr. (NO),9.200000000000001,1.5,0
Larry Rountree III (LAC),14.6,1.5,0
Mike Boone (DEN),9.3,1.35,0
Qadree Ollison (DAL),8.0,1.35,0
LeSean McCoy (FA),13.2,1.3,0
John Kelly Jr. (CLE),1.3,1.3,0
Wendell Smallwood (FA),2.35,1.2,0
Johnny Stanton IV (FA),3.6,1.2,0
Elijhaa Penny (FA),15.2,1.2,0
Jacques Patrick (FA),1.2,1.2,0
C.J. Ham (MIN),16.7,1.15,0
Theo Riddick (FA),5.7,1.1,0
Patrick Ricard (BAL),10.55,1.1,0
Anthony McFarland Jr. (PIT),9.049999999999999,1.0,0
Darwin Thompson (SEA),13.1,1.0,0
Artavis Pierce (FA),4.7,0.95,0
Godwin Igwebuike (FA),14.0,0.9,0
Andy Janovich (FA),5.3,0.8,0
C.J. Prosise (FA),7.7,0.8,0
Patrick Laird (TB),7.05,0.75,0
Michael Burton (KC),8.149999999999999,0.75,0
Damarea Crockett (DEN),0.7,0.7,0
Gabe Nabers (FA),8.85,0.7,0
Jaylen Samuels (FA),4.85,0.65,0
Lamar Miller (FA),0.6,0.6,0
Jakob Johnson (LV),6.9,0.6,0
Anthony Sherman (FA),7.3,0.6,0
Jonathan Ward (ARI),6.9,0.6,0
Keith Smith (ATL),7.6499999999999995,0.55,0
Alex Armah Jr. (FA),5.449999999999999,0.5,0
Ryan Nall (FA),6.75,0.5,0
Scottie Phillips (FA),1.9000000000000001,0.44999999999999996,0
Reggie Gilliam (BUF),5.1,0.4,0
Kylin Hill (GB),2.9,0.4,0
Tony Brooks-James (FA),0.4,0.4,0
Adam Prentice (NO),2.1,0.4,0
Justice Hill (BAL),4.0,0.35,0
Buddy Howell (FA),3.9000000000000004,0.35,0
Devine Ozigbo (DEN),2.35,0.35,0
Dexter Williams (FA),0.8,0.3,0
Dwayne Washington (NO),2.15,0.25,0
Mekhi Sargent (JAC),1.1,0.2,0
LeVante Bellamy (FA),0.8,0.15,0
Senorise Perry (FA),0.9,0.1,0
D.J. Foster (FA),0.9,0.1,0
Gary Brightwell (NYG),1.0,0.1,0
Chandler Cox (FA),0.9,0.1,0
Trenton Cannon (TEN),1.6500000000000001,0.1,0
Jake Funk (LAR),0.5,0.1,0
Rico Dowdle (DAL),1.2,0.1,0
Cullen Gillaspia (FA),0.3,0.05,0
Nathan Cottrell (FA),0.15,0.05,0
Derek Watt (PIT),0.8,0.05,0
Khari Blasingame (CHI),1.45,0.04999999999999999,0
Taiwan Jones (BUF),0.0,0.0,0
Connor Heyward (PIT),0.0,0.0,0
Willie Carter (CHI),0.0,0.0,0
Xavier Jones (FA),0.0,0.0,0
Chad Spann (HOU),0.0,0.0,0
Sandro Platzgummer (NYG),0.0,0.0,0
Xavier Omon (SF),0.0,0.0,0
Samkon Gado (TEN),0.0,0.0,0
Trevon Wesco (CHI),0.0,0.0,0
ZaQuandre White (MIA),0.0,0.0,0
Chad Simpson (WAS),0.0,0.0,0
Caleb Huntley (ATL),0.0,0.0,0
Trestan Ebner (CHI),0.0,0.0,0
Zamir White (LV),0.0,0.0,0
Zander Horvath (LAC),0.0,0.0,0
Tory Carter (TEN),0.0,0.0,0
Dantrell Savage (CAR),0.0,0.0,0
Darius Anderson (HOU),0.0,0.0,0
Tyrion Davis-Price (SF),0.0,0.0,0
Tyler Goodson (GB),0.0,0.0,0
Travis Etienne Jr. (JAC),0.0,0.0,0
Taquan Mizzell (NYG),0.0,0.0,0
Sutton Smith (FA),0.0,0.0,0
Ty Chandler (MIN),0.0,0.0,0
Spencer Brown (FA),0.0,0.0,0
Dameon Pierce (HOU),0.0,0.0,0
Tyler Allgeier (ATL),0.0,0.0,0
D'Vonte Price (IND),0.0,0.0,0
Tim Flanders (NO),0.0,0.0,0
Snoop Conner (JAC),0.0,0.0,0
Darius Bradwell (FA),0.0,0.0,0
Trey Edmunds (FA),0.0,0.0,0
Sincere McCormick (LV),0.0,0.0,0
Shane Bannon (KC),0.0,0.0,0
Sewo Olonilua (FA),0.0,0.0,0
Tyler Badie (BAL),0.0,0.0,0
Jeremy Cox (FA),0.0,0.0,0
Elijah Holyfield (CIN),0.0,0.0,0
Jason Cabinda (DET),0.0,0.0,0
Jake Tonges (CHI),0.0,0.0,0
Kenny Irons (CIN),0.0,0.0,0
Kennedy Brooks (PHI),0.0,0.0,0
Kenjon Barner (TB),0.0,0.0,0
Bryant Koback (MIN),0.0,0.0,0
Ken Walker III (SEA),0.0,0.0,0
Keaontay Ingram (ARI),0.0,0.0,0
Bruce Miller (FA),0.0,0.0,0
James Cook (BUF),0.0,0.0,0
Brittain Brown (LV),0.0,0.0,0
Jashaun Corbin (NYG),0.0,0.0,0
Julius Chestnut (TEN),0.0,0.0,0
Josh Johnson (SEA),0.0,0.0,0
Elijah McGuire (FA),0.0,0.0,0
Brandin Bryant (BUF),0.0,0.0,0
Javian Hawkins (TEN),0.0,0.0,0
Javon Leake (FA),0.0,0.0,0
Jordan Mason (SF),0.0,0.0,0
Brian Robinson Jr. (WAS),0.0,0.0,0
Jay Finley (CIN),0.0,0.0,0
Breece Hall (NYJ),0.0,0.0,0
John Lovett (MIA),0.0,0.0,0
John Lovett (CAR),0.0,0.0,0
Brennan Clay (DEN),0.0,0.0,0
Jerrion Ealy (KC),0.0,0.0,0
Jerome Ford (CLE),0.0,0.0,0
Kevin Harris (NE),0.0,0.0,0
Jake Bargas (FA),0.0,0.0,0
Kyren Williams (LAR),0.0,0.0,0
Gerrid Doaks (HOU),0.0,0.0,0
Raymond Calais (FA),0.0,0.0,0
Andrew Beck (DEN),0.0,0.0,0
Raheem Blackshear (BUF),0.0,0.0,0
Rachaad White (TB),0.0,0.0,0
Pooka Williams Jr. (FA),0.0,0.0,0
Pierre Strong Jr. (NE),0.0,0.0,0
Jaylen Warren (PIT),0.0,0.0,0
Garrett Mills (NE),0.0,0.0,0
Nick Ralston (FA),0.0,0.0,0
Anthony Alridge (WAS),0.0,0.0,0
Nick Bellore (SEA),0.0,0.0,0
Mike Weber (NYG),0.0,0.0,0
Michael Warren II (FA),0.0,0.0,0
Avery Williams (ATL),0.0,0.0,0
B.J. Emmons (FA),0.0,0.0,0
Giovanni Ricci (CAR),0.0,0.0,0
Hassan Haskins (TEN),0.0,0.0,0
Malik Davis (DAL),0.0,0.0,0
Isaiah Spiller (LAC),0.0,0.0,0
Madison Hedgecock (NYG),0.0,0.0,0
Ben Mason (BAL),0.0,0.0,0
Isiah Pacheco (KC),0.0,0.0,0
J.P. Holtz (NO),0.0,0.0,0
Zonovan Knight (NYJ),0.0,0.0,0
Nate McCrary (FA),-0.1,-0.1,0
Adrian Killins Jr. (FA),-1.0,-1.0,0
