"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","332","1,811","5.5","83","30","18","40","51","360","9.0","2","2","17","333.1","19.6","100.0%"
"2","Austin Ekeler (LAC)","206","911","4.4","28","3","12","70","94","647","9.2","8","3","16","273.8","17.1","100.0%"
"3","Joe Mixon (CIN)","292","1,205","4.1","32","7","13","42","48","314","7.5","3","1","16","245.9","15.4","100.0%"
"4","Najee Harris (PIT)","307","1,200","3.9","37","8","7","74","94","467","6.3","3","0","17","226.7","13.3","100.0%"
"5","James Conner (ARI)","202","752","3.7","35","4","15","37","39","375","10.1","3","0","15","220.7","14.7","99.3%"
"6","Ezekiel Elliott (DAL)","237","1,002","4.2","47","5","10","47","65","287","6.1","2","1","17","205.1","12.1","99.3%"
"7","Nick Chubb (CLE)","228","1,259","5.5","70","20","8","20","25","174","8.7","1","1","14","195.3","14.0","99.8%"
"8","Damien Harris (NE)","202","929","4.6","64","14","15","18","20","132","7.3","0","2","15","192.1","12.8","92.5%"
"9","Alvin Kamara (NO)","240","898","3.7","30","4","4","47","67","439","9.3","5","0","13","187.7","14.4","100.0%"
"10","Antonio Gibson (WAS)","258","1,037","4.0","27","4","7","42","52","294","7.0","3","4","16","187.1","11.7","93.8%"
"11","Leonard Fournette (TB)","180","812","4.5","47","7","8","69","84","454","6.6","2","0","14","186.6","13.3","99.9%"
"12","Cordarrelle Patterson (ATL)","153","618","4.0","39","3","6","52","69","548","10.5","5","0","16","182.6","11.4","90.5%"
"13","Aaron Jones (GB)","171","799","4.7","57","8","4","52","65","391","7.5","6","1","15","177.0","11.8","99.9%"
"14","Derrick Henry (TEN)","219","937","4.3","76","9","10","18","20","154","8.6","0","0","8","175.3","21.9","100.0%"
"15","Dalvin Cook (MIN)","249","1,159","4.7","66","14","6","34","49","224","6.6","0","2","13","172.3","13.3","100.0%"
"16","Josh Jacobs (LV)","217","872","4.0","28","2","9","54","64","348","6.4","0","2","15","172.0","11.5","96.9%"
"17","Melvin Gordon III (DEN)","203","918","4.5","70","8","8","28","38","213","7.6","2","3","16","167.2","10.5","84.8%"
"18","Javonte Williams (DEN)","203","903","4.4","49","11","4","43","53","316","7.3","3","1","17","161.9","9.5","99.8%"
"19","Devin Singletary (BUF)","188","870","4.6","46","10","7","40","50","228","5.7","1","0","17","157.8","9.3","92.8%"
"20","David Montgomery (CHI)","225","849","3.8","41","7","7","42","51","301","7.2","0","1","14","154.0","11.0","98.0%"
"21","AJ Dillon (GB)","187","803","4.3","36","3","5","34","37","313","9.2","2","1","17","151.6","8.9","92.8%"
"22","Darrel Williams (ARI)","144","558","3.9","21","1","6","47","57","452","9.6","2","0","17","149.0","8.8","6.3%"
"23","D'Andre Swift (DET)","151","617","4.1","57","7","5","62","78","452","7.3","2","1","13","146.9","11.3","99.9%"
"24","Elijah Mitchell (SF)","207","963","4.7","39","9","5","19","20","137","7.2","1","0","12","146.0","12.2","96.1%"
"25","James Robinson (JAC)","164","767","4.7","58","7","8","31","46","222","7.2","0","2","14","142.9","10.2","68.5%"
"26","Darrell Henderson Jr. (LAR)","149","688","4.6","29","1","5","29","40","176","6.1","3","0","12","134.4","11.2","60.9%"
"27","Sony Michel (LAC)","208","845","4.1","39","3","4","21","33","128","6.1","1","1","17","125.3","7.4","8.5%"
"28","Myles Gaskin (MIA)","173","612","3.5","30","3","3","49","63","234","4.8","4","1","17","124.6","7.3","1.6%"
"29","Tony Pollard (DAL)","130","719","5.5","58","8","2","39","46","337","8.6","0","0","15","123.6","8.2","91.4%"
"30","Michael Carter (NYJ)","147","639","4.3","55","8","4","36","55","325","9.0","0","1","14","118.4","8.5","76.6%"
"31","Rashaad Penny (SEA)","119","749","6.3","62","20","6","6","8","48","8.0","0","0","10","115.7","11.6","89.8%"
"32","Devonta Freeman (FA)","133","576","4.3","32","6","5","34","42","190","5.6","1","0","16","112.6","7.0","0.1%"
"33","Chuba Hubbard (CAR)","172","612","3.6","26","3","5","25","37","174","7.0","1","1","16","112.6","7.0","8.6%"
"34","Saquon Barkley (NYG)","162","593","3.7","41","6","2","41","57","263","6.4","2","1","14","107.6","7.7","99.8%"
"35","Devontae Booker (FA)","145","593","4.1","31","4","2","40","45","268","6.7","1","0","16","104.1","6.5","0.0%"
"36","Rhamondre Stevenson (NE)","133","606","4.6","21","1","5","14","18","123","8.8","0","1","12","100.9","8.4","90.2%"
"37","Chase Edmonds (MIA)","116","592","5.1","54","8","2","43","53","311","7.2","0","1","12","100.3","8.4","91.9%"
"38","Clyde Edwards-Helaire (KC)","119","517","4.3","17","0","4","19","23","118","6.2","2","2","10","97.5","9.8","94.4%"
"39","Mike Davis (BAL)","138","503","3.6","18","0","3","44","58","259","5.9","1","3","17","94.2","5.5","19.3%"
"40","Alexander Mattison (MIN)","134","491","3.7","48","4","3","32","39","228","7.1","1","1","16","93.9","5.9","55.9%"
"41","Jamaal Williams (DET)","153","601","3.9","20","1","3","26","28","157","6.0","0","0","13","93.8","7.2","42.7%"
"42","Latavius Murray (FA)","119","501","4.2","46","5","6","10","13","75","7.5","0","0","14","93.6","6.7","0.0%"
"43","Miles Sanders (PHI)","137","754","5.5","38","9","0","26","34","158","6.1","0","1","12","91.2","7.6","91.2%"
"44","Christian McCaffrey (CAR)","99","442","4.5","18","0","1","37","41","343","9.3","1","0","7","90.5","12.9","100.0%"
"45","Kenneth Gainwell (PHI)","68","291","4.3","18","0","5","33","50","253","7.7","1","1","16","90.4","5.7","40.4%"
"46","Kareem Hunt (CLE)","78","386","4.9","33","3","5","22","27","174","7.9","0","0","8","88.0","11.0","91.2%"
"47","Boston Scott (PHI)","87","373","4.3","23","2","7","13","16","83","6.4","0","1","11","85.6","7.8","4.0%"
"48","D'Ernest Johnson (CLE)","100","534","5.3","30","5","3","19","25","137","7.2","0","0","13","85.1","6.5","1.7%"
"49","J.D. McKissic (WAS)","48","212","4.4","15","0","2","43","53","397","9.2","2","0","11","84.9","7.7","38.9%"
"50","D'Onta Foreman (CAR)","133","566","4.3","35","6","3","9","11","123","13.7","0","1","9","84.9","9.4","8.2%"
"51","Brandon Bolden (LV)","44","226","5.1","24","2","1","41","49","405","9.9","2","0","16","83.1","5.2","0.2%"
"52","Ty Johnson (NYJ)","61","238","3.9","24","2","2","34","55","372","10.9","2","1","15","83.0","5.5","0.1%"
"53","Zack Moss (BUF)","96","345","3.6","17","0","4","23","32","197","8.6","1","1","13","82.2","6.3","3.5%"
"54","Mark Ingram II (NO)","160","554","3.5","28","2","2","27","35","162","6.0","0","1","14","81.6","5.8","23.2%"
"55","Rex Burkhead (HOU)","122","427","3.5","36","3","3","25","32","186","7.4","0","0","15","79.3","5.3","14.0%"
"56","Nyheim Hines (IND)","56","276","4.9","34","3","2","40","57","310","7.8","1","2","17","72.6","4.3","70.5%"
"57","Kenyan Drake (BAL)","63","254","4.0","21","1","2","30","40","291","9.7","1","0","12","72.5","6.0","6.3%"
"58","Ronald Jones II (KC)","101","428","4.2","30","2","4","10","13","64","6.4","0","2","15","69.2","4.6","8.0%"
"59","Khalil Herbert (CHI)","103","433","4.2","29","4","2","14","16","96","6.9","0","0","16","64.9","4.1","34.1%"
"60","Justin Jackson (DET)","68","364","5.4","75","5","2","22","25","178","8.1","0","1","14","64.2","4.6","0.2%"
"61","Jordan Howard (FA)","86","406","4.7","25","1","3","2","5","19","9.5","0","0","7","60.5","8.6","0.0%"
"62","Alex Collins (FA)","108","411","3.8","25","2","2","9","10","87","9.7","0","1","11","59.8","5.4","19.0%"
"63","Samaje Perine (CIN)","55","246","4.5","46","4","1","27","31","196","7.3","1","0","15","56.2","3.7","5.7%"
"64","Duke Johnson Jr. (BUF)","71","330","4.6","27","1","3","4","5","41","10.3","0","0","5","55.1","11.0","0.1%"
"65","Dontrell Hilliard (TEN)","56","350","6.3","68","6","2","19","26","87","4.6","0","1","8","53.7","6.7","5.0%"
"66","Ameer Abdullah (LV)","51","166","3.3","15","0","0","38","53","289","7.6","1","0","17","51.5","3.0","4.7%"
"67","David Johnson (FA)","67","228","3.4","15","0","0","32","42","225","7.0","1","1","13","49.3","3.8","0.0%"
"68","Derrick Gore (FA)","51","256","5.0","51","5","2","8","9","105","13.1","0","0","8","48.1","6.0","0.0%"
"69","Jaret Patterson (WAS)","68","266","3.9","13","0","2","10","12","73","7.3","0","0","14","45.9","3.3","0.1%"
"70","Travis Homer (SEA)","21","177","8.4","73","5","1","16","20","161","10.1","0","0","14","45.8","3.3","0.6%"
"71","Jeremy McNichols (PIT)","41","156","3.8","14","0","0","28","38","240","8.6","1","0","13","45.6","3.5","0.0%"
"72","Damien Williams (ATL)","40","164","4.1","23","1","2","16","23","103","6.4","1","0","12","44.7","3.7","4.1%"
"73","Jeff Wilson Jr. (SF)","79","294","3.7","17","0","2","7","8","31","4.4","0","0","9","44.5","4.9","8.1%"
"74","Kyle Juszczyk (SF)","8","22","2.8","6","0","1","30","38","296","9.9","1","0","15","43.8","2.9","0.4%"
"75","Chris Carson (FA)","54","232","4.3","33","4","3","6","6","29","4.8","0","1","4","42.1","10.5","0.8%"
"76","Phillip Lindsay (IND)","88","249","2.8","35","2","1","4","5","45","11.3","1","0","14","41.4","3.0","0.2%"
"77","Tevin Coleman (FA)","84","356","4.2","20","1","0","11","16","49","4.5","0","0","11","40.5","3.7","0.1%"
"78","Peyton Barber (FA)","55","212","3.9","27","1","2","10","13","67","6.7","0","0","10","39.9","4.0","1.0%"
"79","DeeJay Dallas (SEA)","33","138","4.2","15","0","2","21","23","133","6.3","0","0","17","39.1","2.3","0.7%"
"80","Dare Ogunbowale (HOU)","43","137","3.2","12","0","1","13","21","114","8.8","1","0","13","37.1","2.9","0.4%"
"81","Giovani Bernard (TB)","8","58","7.3","24","1","0","23","29","123","5.3","3","0","10","36.1","3.6","0.4%"
"82","Matt Breida (NYG)","26","125","4.8","28","1","1","7","9","72","10.3","2","1","7","35.7","5.1","1.5%"
"83","Chris Evans (CIN)","17","77","4.5","13","0","0","15","17","151","10.1","2","0","9","34.8","3.9","1.1%"
"84","Carlos Hyde (FA)","72","253","3.5","18","0","1","12","22","65","5.4","0","2","12","33.8","2.8","0.0%"
"85","Le'Veon Bell (FA)","39","101","2.6","12","0","2","5","7","30","6.0","1","0","8","33.1","4.1","0.1%"
"86","Ty'Son Williams (FA)","35","185","5.3","35","3","1","9","12","84","9.3","0","0","8","32.9","4.1","0.0%"
"87","Ke'Shawn Vaughn (TB)","36","180","5.0","55","4","2","4","8","26","6.5","0","0","6","32.6","5.4","1.0%"
"88","Demetric Felton Jr. (CLE)","7","24","3.4","12","0","0","18","21","181","10.1","2","0","15","32.5","2.2","0.1%"
"89","Craig Reynolds (DET)","55","230","4.2","35","3","0","7","8","52","7.4","0","0","5","28.2","5.6","0.2%"
"90","Elijhaa Penny (FA)","24","99","4.1","12","0","1","9","13","30","3.3","1","0","13","26.9","2.1","0.0%"
"91","Salvon Ahmed (MIA)","54","149","2.8","16","0","0","12","19","117","9.8","0","0","11","26.6","2.4","0.1%"
"92","JaMycal Hasty (JAC)","16","68","4.3","21","1","1","23","29","157","6.8","0","1","11","26.5","2.4","0.0%"
"93","Trey Sermon (PHI)","41","167","4.1","16","0","1","3","4","26","8.7","0","0","6","25.3","4.2","1.4%"
"94","Royce Freeman (HOU)","56","169","3.0","13","0","0","10","16","77","7.7","0","0","12","24.6","2.1","0.1%"
"95","Corey Clement (FA)","33","140","4.2","38","2","0","6","7","29","4.8","1","0","11","22.9","2.1","0.0%"
"96","Jerick McKinnon (KC)","12","62","5.2","18","0","0","13","20","107","8.2","1","0","9","22.9","2.5","10.1%"
"97","Adrian Peterson (FA)","38","98","2.6","16","0","2","4","4","8","2.0","0","0","4","22.6","5.7","2.1%"
"98","Eno Benjamin (ARI)","34","118","3.5","21","1","1","6","7","42","7.0","0","0","8","22.0","2.8","5.1%"
"99","Jermar Jefferson (DET)","15","74","4.9","28","1","2","4","5","23","5.8","0","0","5","21.7","4.3","0.1%"
"100","Malcolm Brown (FA)","33","125","3.8","24","1","1","3","5","10","3.3","0","0","6","19.5","3.3","0.0%"
"101","James White (FA)","10","38","3.8","10","0","1","12","14","94","7.8","0","0","3","19.2","6.4","0.7%"
"102","Kene Nwangwu (MIN)","13","61","4.7","19","0","0","4","5","9","2.3","0","0","9","19.0","2.1","0.7%"
"103","Tony Jones Jr. (NO)","54","142","2.6","11","0","0","5","8","29","5.8","0","0","10","17.1","1.7","0.1%"
"104","Austin Walter (LV)","26","101","3.9","14","0","1","2","3","9","4.5","0","0","4","17.0","4.3","0.0%"
"105","Jonathan Williams (WAS)","17","79","4.6","23","1","1","4","6","28","7.0","0","0","5","16.7","3.3","0.1%"
"106","C.J. Ham (MIN)","7","34","4.9","30","2","0","17","18","125","7.4","0","0","15","15.9","1.1","0.1%"
"107","Qadree Ollison (DAL)","21","105","5.0","19","0","1","4","6","12","3.0","0","1","6","15.7","2.6","0.1%"
"108","Patrick Taylor Jr. (GB)","23","89","3.9","12","0","1","2","2","3","1.5","0","0","5","15.2","3.0","0.0%"
"109","Larry Rountree III (LAC)","36","87","2.4","13","0","1","1","2","-1","-1.0","0","0","10","14.6","1.5","0.1%"
"110","Alec Ingold (MIA)","2","1","0.5","1","0","0","10","12","85","8.5","1","0","7","14.6","2.1","0.0%"
"111","J.J. Taylor (NE)","19","37","1.9","15","0","2","4","4","8","2.0","0","1","5","14.5","2.9","0.2%"
"112","Godwin Igwebuike (FA)","18","118","6.6","42","3","1","7","10","60","8.6","0","2","15","14.0","0.9","0.0%"
"113","Ty Montgomery (NE)","15","44","2.9","9","0","0","16","26","95","5.9","0","0","14","13.9","1.0","1.3%"
"114","Patrick Ricard (BAL)","2","4","2.0","2","0","0","8","13","63","7.9","1","0","8","12.7","1.6","0.1%"
"115","Wayne Gallman Jr. (FA)","28","104","3.7","17","0","0","1","3","21","21.0","0","0","9","12.5","1.4","0.0%"
"116","Joshua Kelley (LAC)","33","102","3.1","14","0","0","5","6","38","7.6","0","1","8","12.0","1.5","1.1%"
"117","Michael Burton (KC)","8","26","3.3","7","0","1","3","3","31","10.3","0","0","10","11.7","1.2","0.0%"
"118","Jalen Richard (FA)","9","40","4.4","23","1","0","12","14","72","6.0","0","0","9","11.2","1.2","1.0%"
"119","Benny Snell Jr. (PIT)","36","98","2.7","9","0","0","2","4","13","6.5","0","0","16","11.1","0.7","0.9%"
"120","Marlon Mack (FA)","28","101","3.6","22","1","0","2","5","8","4.0","0","0","6","10.9","1.8","6.5%"
"121","Ryquell Armstead (FA)","15","80","5.3","26","1","0","3","4","16","5.3","0","0","2","9.6","4.8","0.0%"
"122","Deon Jackson (IND)","13","31","2.4","10","0","1","0","0","0","0","0","0","5","9.1","1.8","0.2%"
"123","JaQuan Hardy (FA)","4","29","7.3","22","1","1","0","0","0","0","0","0","2","8.9","4.5","0.0%"
