"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","105","145","1,416","13.5","45","29","11","0","0","0","1","15","207.8","13.9","100.0%"
"2","Darren Waller (LV)","107","145","1,196","11.2","38","19","9","0","0","0","2","16","171.6","10.7","99.7%"
"3","Robert Tonyan (GB)","52","59","586","11.3","45","13","11","0","0","0","0","16","124.6","7.8","23.3%"
"4","Mark Andrews (BAL)","58","88","701","12.1","39","13","7","0","0","0","0","14","112.1","8.0","100.0%"
"5","T.J. Hockenson (DET)","67","101","723","10.8","51","10","6","1","0","0","1","16","108.3","6.8","96.8%"
"6","Mike Gesicki (MIA)","53","85","703","13.3","70","14","6","0","0","0","0","15","106.3","7.1","59.2%"
"7","Logan Thomas (WAS)","72","110","670","9.3","30","6","6","3","5","0","0","16","104.6","6.5","5.5%"
"8","Rob Gronkowski (FA)","45","77","623","13.8","48","16","7","0","0","0","0","16","104.3","6.5","2.4%"
"9","Jonnu Smith (NE)","41","65","448","10.9","63","8","8","2","4","1","0","15","99.2","6.6","0.9%"
"10","Jimmy Graham (FA)","50","76","456","9.1","30","5","8","0","0","0","0","16","93.6","5.9","0.0%"
"11","Hayden Hurst (CIN)","56","88","571","10.2","42","8","6","0","0","0","0","16","93.1","5.8","14.8%"
"12","Jared Cook (FA)","37","60","504","13.6","46","12","7","0","0","0","1","15","90.4","6.0","0.1%"
"13","Noah Fant (SEA)","62","93","673","10.9","37","11","3","0","0","0","0","15","87.3","5.8","37.2%"
"14","Eric Ebron (FA)","56","91","558","10.0","27","6","5","0","0","0","1","15","85.8","5.7","0.0%"
"15","Hunter Henry (NE)","60","93","613","10.2","33","6","4","0","0","0","0","14","85.3","6.1","76.2%"
"16","Tyler Higbee (LAR)","44","60","521","11.8","44","14","5","1","1","0","0","15","84.2","5.6","52.4%"
"17","Dalton Schultz (DAL)","63","89","615","9.8","28","3","4","0","0","0","1","16","83.5","5.2","98.5%"
"18","Evan Engram (JAC)","63","109","654","10.4","53","12","1","6","26","1","1","16","78.0","4.9","22.8%"
"19","George Kittle (SF)","48","63","634","13.2","44","13","2","2","17","0","0","8","77.1","9.6","98.7%"
"20","Dallas Goedert (PHI)","46","65","524","11.4","41","11","3","0","0","0","0","11","70.4","6.4","96.4%"
"21","Irv Smith Jr. (MIN)","30","43","365","12.2","36","7","5","0","0","0","0","13","68.5","5.3","52.9%"
"22","Austin Hooper (TEN)","46","70","435","9.5","36","4","4","0","0","0","0","13","67.5","5.2","33.3%"
"23","Dan Arnold (JAC)","31","45","438","14.1","59","13","4","0","0","0","1","16","65.8","4.1","0.3%"
"24","Trey Burton (FA)","28","47","250","8.9","20","1","3","2","3","2","0","13","55.3","4.3","0.0%"
"25","Darren Fells (FA)","21","28","312","14.9","44","6","4","0","0","0","0","16","55.2","3.5","0.0%"
"26","Gerald Everett (LAC)","41","62","417","10.2","40","5","1","1","2","1","1","16","51.9","3.2","20.8%"
"27","Mo Alie-Cox (IND)","31","39","394","12.7","45","9","2","0","0","0","1","15","49.4","3.3","6.9%"
"28","Jordan Reed (FA)","26","46","231","8.9","26","1","4","0","0","0","0","10","47.1","4.7","19.0%"
"29","Tyler Eifert (FA)","36","60","349","9.7","28","1","2","0","0","0","0","15","46.9","3.1","0.0%"
"30","Jordan Akins (HOU)","37","49","403","10.9","26","7","1","1","4","0","0","13","46.7","3.6","0.0%"
"31","Richard Rodgers (LAC)","24","31","345","14.4","33","7","2","0","0","0","0","14","46.5","3.3","0.0%"
"32","Anthony Firkser (ATL)","39","53","387","9.9","45","6","1","0","0","0","0","16","44.7","2.8","0.0%"
"33","Dawson Knox (BUF)","24","44","288","12.0","36","4","3","0","0","0","2","12","42.8","3.6","92.1%"
"34","Chris Herndon IV (FA)","31","46","287","9.3","26","3","3","0","0","0","2","16","42.7","2.7","0.0%"
"35","Zach Ertz (ARI)","36","72","335","9.3","42","7","1","0","0","0","0","11","41.5","3.8","92.5%"
"36","Jack Doyle (FA)","23","33","251","10.9","28","2","3","0","0","0","1","14","41.1","2.9","2.0%"
"37","Jacob Hollister (FA)","25","40","209","8.4","20","1","3","0","0","0","0","16","40.9","2.6","0.0%"
"38","Cameron Brate (TB)","28","34","282","10.1","25","2","2","0","0","0","0","16","40.2","2.5","5.3%"
"39","Drew Sample (CIN)","40","53","349","8.7","23","1","1","0","0","0","1","16","38.9","2.4","0.1%"
"40","Harrison Bryant (CLE)","24","38","238","9.9","35","2","3","0","0","0","2","15","37.8","2.5","0.3%"
"41","Kyle Rudolph (TB)","28","37","334","11.9","25","5","1","0","0","0","1","12","37.4","3.1","2.3%"
"42","Will Dissly (SEA)","24","29","251","10.5","28","3","2","0","0","0","0","16","37.1","2.3","0.1%"
"43","Cole Kmet (CHI)","28","44","243","8.7","38","2","2","1","-3","0","1","16","34.0","2.1","83.0%"
"44","Donald Parham Jr. (LAC)","10","20","159","15.9","26","4","3","0","0","0","0","13","33.9","2.6","0.3%"
"45","David Njoku (CLE)","19","29","213","11.2","28","4","2","0","0","0","0","13","33.3","2.6","58.2%"
"46","Adam Shaheen (MIA)","12","22","150","12.5","43","4","3","0","0","0","0","16","33.0","2.1","0.0%"
"47","Durham Smythe (MIA)","26","29","208","8.0","19","0","2","0","0","0","0","15","32.8","2.2","0.1%"
"48","Ross Dwelley (SF)","19","24","245","12.9","36","4","1","0","0","0","0","16","30.5","1.9","0.0%"
"49","Greg Olsen (FA)","24","37","239","10.0","22","3","1","0","0","0","0","11","29.9","2.7","7.0%"
"50","Tyler Kroft (SF)","12","16","119","9.9","38","2","3","0","0","0","0","10","29.9","3.0","0.2%"
"51","Marcedes Lewis (GB)","10","17","107","10.7","36","2","3","0","0","0","0","15","28.7","1.9","0.1%"
"52","Pharaoh Brown (HOU)","14","16","163","11.6","29","2","2","0","0","0","0","13","28.3","2.2","0.0%"
"53","O.J. Howard (HOU)","11","19","146","13.3","33","3","2","0","0","0","0","4","26.6","6.7","0.7%"
"54","James O'Shaughnessy (FA)","28","38","262","9.4","26","3","0","0","0","0","0","15","26.2","1.7","0.0%"
"55","Foster Moreau (LV)","7","9","140","20.0","47","7","2","0","0","0","0","16","26.0","1.6","0.6%"
"56","Tyler Conklin (NYJ)","19","26","194","10.2","30","3","1","0","0","0","0","16","25.4","1.6","1.7%"
"57","Jesse James (CLE)","14","22","129","9.2","31","3","2","0","0","0","0","16","24.9","1.6","0.0%"
"58","Nick Boyle (BAL)","14","17","113","8.1","21","1","2","0","0","0","0","9","23.3","2.6","0.1%"
"59","Adam Trautman (NO)","15","16","171","11.4","41","4","1","0","0","0","0","15","23.1","1.5","0.7%"
"60","Ian Thomas (CAR)","20","31","145","7.3","21","1","1","0","0","0","0","16","20.5","1.3","0.1%"
"61","Jason Witten (FA)","13","17","69","5.3","15","0","2","0","0","0","0","16","18.9","1.2","0.0%"
"62","Albert Okwuegbunam (DEN)","11","15","121","11.0","27","1","1","0","0","0","0","4","18.1","4.5","48.1%"
"63","Ryan Izzo (FA)","13","20","199","15.3","50","6","0","0","0","0","1","12","17.9","1.5","0.0%"
"64","Jace Sternberger (FA)","12","15","114","9.5","27","2","1","0","0","0","0","12","17.4","1.5","0.0%"
"65","MyCole Pruitt (ATL)","5","8","49","9.8","22","1","2","0","0","0","0","11","16.9","1.5","0.0%"
"66","Maxx Williams (ARI)","8","10","102","12.8","42","4","1","0","0","0","0","9","16.2","1.8","0.1%"
"67","Nick Vannett (NO)","14","21","95","6.8","19","0","1","0","0","0","0","15","15.5","1.0","0.0%"
"68","Lee Smith (FA)","4","6","35","8.8","27","1","2","0","0","0","0","10","15.5","1.6","0.0%"
"69","Darrell Daniels (FA)","8","11","92","11.5","31","3","1","0","0","0","0","12","15.2","1.3","0.0%"
"70","C.J. Uzomah (NYJ)","8","11","87","10.9","23","1","1","0","0","0","0","2","14.7","7.4","1.0%"
"71","Geoff Swaim (TEN)","9","12","83","9.2","16","0","1","0","0","0","0","10","14.3","1.4","0.1%"
"72","Troy Fumagalli (SF)","8","15","80","10.0","29","1","1","0","0","0","0","8","14.0","1.8","0.0%"
"73","Blake Bell (KC)","11","15","110","10.0","24","1","0","1","2","0","0","16","11.2","0.7","0.1%"
"74","Kaden Smith (FA)","18","21","112","6.2","16","0","0","0","0","0","0","15","11.2","0.7","0.0%"
"75","Virgil Green (FA)","3","6","50","16.7","26","1","1","0","0","0","0","6","11.0","1.8","0.0%"
"76","Stephen Anderson (ARI)","8","11","106","13.3","23","1","0","0","0","0","0","16","10.6","0.7","0.0%"
"77","Josh Hill (FA)","8","10","46","5.8","16","0","1","0","0","0","0","14","10.6","0.8","0.0%"
"78","Devin Asiasi (CIN)","2","7","39","19.5","26","1","1","0","0","0","0","8","9.9","1.2","0.0%"
"79","Vance McDonald (FA)","15","20","99","6.6","15","0","0","0","0","0","0","14","9.9","0.7","0.0%"
"80","Dominique Dafney (FA)","2","2","26","13.0","13","0","1","0","0","0","0","5","8.6","1.7","0.0%"
"81","Ryan Griffin (CHI)","9","12","86","9.6","23","1","0","0","0","0","0","15","8.6","0.6","0.1%"
"82","Colin Thompson (CAR)","1","2","7","7.0","7","0","1","0","0","0","0","15","6.7","0.4","0.0%"
"83","Jason Croom (FA)","1","1","3","3.0","3","0","1","0","0","0","0","4","6.3","1.6","0.0%"
"84","Luke Stocker (FA)","7","11","63","9.0","25","1","0","0","0","0","0","16","6.3","0.4","0.0%"
"85","Jordan Thomas (FA)","1","2","3","3.0","3","0","1","0","0","0","0","6","6.3","1.1","0.0%"
"86","Cethan Carter (MIA)","5","7","53","10.6","24","2","0","0","0","0","0","15","5.3","0.4","0.0%"
"87","Johnny Mundt (MIN)","4","4","53","13.3","34","2","0","0","0","0","0","16","5.3","0.3","0.0%"
"88","Chris Manhertz (JAC)","6","8","52","8.7","17","0","0","0","0","0","0","16","5.2","0.3","0.0%"
"89","Levine Toilolo (FA)","5","6","46","9.2","14","0","0","0","0","0","0","16","4.6","0.3","0.0%"
"90","Demetrius Harris (FA)","7","14","45","6.4","9","0","0","0","0","0","0","15","4.5","0.3","0.0%"
"91","Hunter Bryant (FA)","1","3","44","44.0","44","3","0","0","0","0","0","5","4.4","0.9","0.0%"
"92","Nick Keizer (FA)","6","10","63","10.5","22","1","0","0","0","0","1","16","4.3","0.3","0.0%"
"93","Tanner Hudson (NYG)","3","7","41","13.7","20","1","0","0","0","0","0","11","4.1","0.4","0.0%"
"94","Juwan Johnson (NO)","4","10","39","9.8","19","0","0","0","0","0","0","7","3.9","0.6","0.0%"
"95","Deon Yelder (FA)","7","11","36","5.1","12","0","0","0","0","0","0","14","3.6","0.3","0.0%"
"96","Charlie Woerner (SF)","3","4","36","12.0","18","0","0","0","0","0","0","14","3.6","0.3","0.0%"
"97","Kahale Warring (FA)","3","7","35","11.7","23","1","0","0","0","0","0","7","3.5","0.5","0.0%"
"98","Stephen Carlson (FA)","1","2","11","11.0","11","0","0","0","0","0","0","16","3.1","0.2","0.0%"
"99","Daniel Brown (FA)","2","2","31","15.5","18","0","0","0","0","0","0","16","3.1","0.2","0.0%"
"100","Ben Ellefson (MIN)","1","4","10","10.0","10","0","0","0","0","0","0","7","3.0","0.4","0.0%"
"101","Jaeden Graham (FA)","3","5","25","8.3","11","0","0","0","0","0","0","16","2.5","0.2","0.0%"
"102","Dalton Keene (PHI)","3","5","16","5.3","8","0","0","0","0","0","0","6","1.6","0.3","0.0%"
"103","Eric Saubert (DEN)","3","4","16","5.3","9","0","0","0","0","0","0","8","1.6","0.2","0.0%"
"104","Colby Parkinson (SEA)","2","2","16","8.0","10","0","0","0","0","0","0","6","1.6","0.3","0.0%"
"105","Derek Carrier (FA)","1","1","14","14.0","14","0","0","0","0","0","0","16","1.4","0.1","0.0%"
"106","Luke Willson (FA)","1","3","12","12.0","12","0","0","0","0","0","0","8","1.2","0.2","0.0%"
"107","Josiah Deguara (GB)","1","2","12","12.0","12","0","0","0","0","0","0","2","1.2","0.6","0.1%"
"108","Blake Jarwin (FA)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","4.0%"
"109","Temarrick Hemingway (FA)","1","2","10","10.0","10","0","0","0","0","0","0","8","1.0","0.1","0.0%"
"110","Brandon Dillon (FA)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"111","Jeremy Sprinkle (FA)","1","3","6","6.0","6","0","0","0","0","0","0","16","0.6","0.0","0.0%"
"112","Trevon Wesco (CHI)","1","2","5","5.0","5","0","0","1","0","0","0","12","0.5","0.0","0.0%"
"113","Jake Butt (FA)","2","4","5","2.5","5","0","0","0","0","0","0","5","0.5","0.1","0.1%"
"114","Isaac Nauta (FA)","1","2","3","3.0","3","0","0","0","0","0","0","7","0.3","0.0","0.0%"
"115","Marcus Baugh (FA)","1","1","2","2.0","2","0","0","0","0","0","0","8","0.2","0.0","0.0%"
"116","Bruce Miller (FA)","1","2","2","2.0","2","0","0","0","0","0","0","8","0.2","0.0","0.0%"
"117","Farrod Green (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"118","Jake Bargas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Caleb Wilson (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"120","Zach Gentry (PIT)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"121","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","1.0%"
"122","Daniel Helm (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"123","Hale Hentges (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","John Lovett (MIA)","0","0","0","0","0","0","0","3","6","0","0","8","0.0","0.0","0.0%"
"125","Nate Becker (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Kevin Rader (TEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"127","J.J. Arcega-Whiteside (SEA)","4","8","85","21.3","37","4","0","0","0","0","0","8","0.0","0.0","0.1%"
"128","Hakeem Butler (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"129","Lawrence Cager (NYJ)","2","6","35","17.5","19","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"130","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"131","Noah Togiai (PHI)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"132","Sean McKeon (DAL)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"133","Tyler Davis (GB)","0","2","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"134","Tommy Stevens (FA)","0","0","0","0","0","0","0","4","24","0","0","1","0.0","0.0","0.0%"
"135","Reggie Gilliam (BUF)","2","2","16","8.0","15","0","1","0","0","0","0","14","0.0","0.0","0.0%"
"136","Rashod Berry (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","2.0%"
"137","Matt Sokol (NE)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"138","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"139","Brycen Hopkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"140","Antonio Gandy-Golden (FA)","1","7","3","3.0","3","0","0","1","22","0","0","6","0.0","0.0","0.0%"
"141","Jordan Matthews (SF)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"142","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"143","J.P. Holtz (NO)","0","1","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"144","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"145","Garrett Griffin (DET)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"146","Ross Travis (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"147","Beau Brinkley (ATL)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.2%"
"148","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"149","Tyler Ott (SEA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"150","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"151","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"152","Jeff Driskel (HOU)","0","0","0","0","0","0","0","6","28","0","0","3","0.0","0.0","0.0%"
"153","Seth DeValve (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"154","Taysom Hill (NO)","8","13","98","12.3","21","2","1","87","457","8","5","16","0.0","0.0","7.4%"
"155","Ricky Seals-Jones (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"156","Antony Auclair (FA)","0","1","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"157","Mason Schreck (HOU)","0","1","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"158","Evan Baylis (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"159","Sean Culkin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"160","Eric Tomlinson (DEN)","0","1","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"161","Kyle Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
""
""