,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1.0,Greg Zuerlein (NYJ),38.0,40.0,95.0,56.0,1.0,8.0,11.0,12.0,6.0,44.0,46.0,14.0,182.0,13.0,2.0%
1,2.0,Stephen Gostkowski (FA),37.0,40.0,92.5,62.0,0.0,16.0,9.0,8.0,4.0,45.0,47.0,16.0,172.0,10.8,0.0%
2,3.0,Robbie Gould (SF),39.0,41.0,95.1,52.0,0.0,7.0,11.0,17.0,4.0,28.0,30.0,16.0,170.0,10.6,38.2%
3,4.0,Matt Bryant (FA),34.0,39.0,87.2,57.0,1.0,6.0,10.0,9.0,8.0,35.0,35.0,16.0,162.0,10.1,1.1%
4,5.0,Justin Tucker (BAL),34.0,37.0,91.9,57.0,0.0,7.0,11.0,11.0,5.0,39.0,39.0,16.0,162.0,10.1,99.9%
5,6.0,Wil Lutz (NO),31.0,36.0,86.1,53.0,0.0,10.0,4.0,13.0,4.0,47.0,50.0,16.0,161.4,10.1,7.3%
6,7.0,Harrison Butker (KC),38.0,42.0,90.5,53.0,0.0,8.0,16.0,10.0,4.0,28.0,28.0,13.0,160.0,12.3,97.6%
7,8.0,Chris Boswell (PIT),35.0,38.0,92.1,53.0,0.0,10.0,12.0,9.0,4.0,37.0,39.0,16.0,159.0,9.9,11.2%
8,9.0,Ryan Succop (TB),35.0,42.0,83.3,52.0,0.0,10.0,7.0,16.0,2.0,31.0,33.0,16.0,156.0,9.8,39.5%
9,10.0,Matt Prater (ARI),30.0,35.0,85.7,58.0,2.0,4.0,10.0,7.0,7.0,40.0,41.0,16.0,151.0,9.4,76.5%
10,11.0,Kai Forbath (LAR),32.0,38.0,84.2,53.0,0.0,8.0,12.0,6.0,6.0,34.0,39.0,16.0,148.0,9.3,3.0%
11,12.0,Jake Elliott (PHI),26.0,31.0,83.9,61.0,0.0,5.0,4.0,12.0,5.0,39.0,42.0,15.0,139.0,9.3,25.7%
12,13.0,Stephen Hauschka (FA),29.0,33.0,87.9,56.0,0.0,6.0,9.0,7.0,7.0,29.0,29.0,16.0,137.0,8.6,0.0%
13,14.0,Phil Dawson (FA),32.0,40.0,80.0,57.0,1.0,7.0,10.0,10.0,4.0,23.0,26.0,16.0,137.0,8.6,0.1%
14,15.0,Graham Gano (NYG),29.0,30.0,96.7,48.0,0.0,8.0,11.0,10.0,0.0,34.0,37.0,16.0,131.0,8.2,21.7%
15,16.0,Adam Vinatieri (FA),29.0,34.0,85.3,54.0,0.0,11.0,7.0,6.0,5.0,22.0,24.0,15.0,125.0,8.3,0.2%
16,17.0,Chandler Catanzaro (FA),25.0,30.0,83.3,57.0,1.0,6.0,4.0,12.0,2.0,29.0,29.0,16.0,120.0,7.5,0.0%
17,18.0,Brandon McManus (DEN),24.0,32.0,75.0,53.0,0.0,6.0,11.0,4.0,3.0,27.0,27.0,16.0,109.0,6.8,69.1%
18,19.0,Blair Walsh (FA),21.0,29.0,72.4,49.0,0.0,6.0,7.0,8.0,0.0,37.0,38.0,16.0,108.0,6.8,0.1%
19,20.0,Ka'imi Fairbairn (HOU),20.0,25.0,80.0,55.0,0.0,3.0,8.0,6.0,3.0,32.0,35.0,16.0,104.0,6.5,0.3%
20,21.0,Cody Parkey (FA),21.0,23.0,91.3,54.0,0.0,6.0,8.0,6.0,1.0,26.0,29.0,16.0,97.0,6.1,0.0%
21,22.0,Randy Bullock (TEN),18.0,20.0,90.0,51.0,0.0,6.0,7.0,4.0,1.0,31.0,33.0,15.0,91.0,6.1,2.8%
22,23.0,Giorgio Tavecchio (FA),16.0,21.0,76.2,53.0,0.0,5.0,5.0,3.0,3.0,33.0,34.0,16.0,90.0,5.6,1.0%
23,24.0,Josh Lambo (FA),19.0,20.0,95.0,56.0,0.0,2.0,11.0,4.0,2.0,22.0,24.0,10.0,87.0,8.7,0.0%
24,25.0,Patrick Murray (FA),19.0,23.0,82.6,50.0,0.0,5.0,8.0,4.0,2.0,21.0,22.0,12.0,86.0,7.2,1.0%
25,26.0,Aldrick Rosas (DET),18.0,25.0,72.0,52.0,0.0,8.0,3.0,4.0,3.0,20.0,23.0,16.0,84.0,5.3,0.0%
26,27.0,Mason Crosby (GB),15.0,19.0,78.9,50.0,0.0,8.0,2.0,4.0,1.0,33.0,35.0,16.0,84.0,5.3,4.8%
27,28.0,Dan Bailey (FA),15.0,20.0,75.0,56.0,1.0,3.0,4.0,4.0,3.0,26.0,28.0,12.0,81.0,6.8,0.0%
28,29.0,Zane Gonzalez (CAR),15.0,20.0,75.0,54.0,0.0,5.0,4.0,4.0,2.0,25.0,26.0,16.0,78.0,4.9,0.1%
29,30.0,Dustin Hopkins (LAC),14.0,17.0,82.4,49.0,1.0,7.0,2.0,4.0,0.0,18.0,19.0,8.0,64.0,8.0,32.5%
30,31.0,Nick Rose (FA),11.0,14.0,78.6,55.0,0.0,6.0,3.0,1.0,1.0,23.0,26.0,10.0,59.0,5.9,0.0%
31,32.0,Connor Barth (FA),11.0,16.0,68.8,54.0,1.0,4.0,0.0,5.0,1.0,17.0,17.0,10.0,57.0,5.7,0.0%
32,33.0,Mike Nugent (FA),11.0,13.0,84.6,55.0,0.0,3.0,3.0,4.0,1.0,15.0,17.0,8.0,54.0,6.8,1.0%
33,34.0,Jason Myers (SEA),11.0,15.0,73.3,47.0,0.0,4.0,2.0,5.0,0.0,15.0,17.0,6.0,53.0,8.8,1.0%
34,35.0,Nick Novak (FA),9.0,13.0,69.2,50.0,0.0,4.0,4.0,0.0,1.0,17.0,18.0,7.0,46.0,6.6,0.1%
35,36.0,Nick Folk (NE),6.0,11.0,54.5,50.0,0.0,2.0,1.0,2.0,1.0,7.0,9.0,4.0,29.0,7.3,70.6%
36,37.0,Travis Coons (FA),7.0,8.0,87.5,40.0,0.0,4.0,2.0,1.0,0.0,5.0,6.0,3.0,27.0,9.0,1.1%
37,38.0,Cairo Santos (CHI),4.0,5.0,80.0,39.0,0.0,0.0,4.0,0.0,0.0,14.0,14.0,5.0,26.0,5.2,1.0%
38,39.0,Younghoe Koo (ATL),3.0,6.0,50.0,41.0,0.0,2.0,0.0,1.0,0.0,9.0,9.0,4.0,19.0,4.8,23.0%
39,40.0,Caleb Sturgis (FA),3.0,3.0,100.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,13.0,13.0,0.0%
40,41.0,Sam Ficken (FA),2.0,3.0,66.7,23.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,2.0,10.0,5.0,0.0%
41,42.0,Marshall Koehn (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0%
42,43.0,Michael Palardy (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,33.3%
43,44.0,Kasey Redfern (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
44,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,
46,1.0,Harrison Butker (KC),34.0,38.0,89.5,56.0,0.0,9.0,9.0,13.0,3.0,45.0,48.0,16.0,166.0,10.4,97.6%
47,2.0,Wil Lutz (NO),32.0,36.0,88.9,58.0,1.0,9.0,6.0,13.0,3.0,48.0,49.0,16.0,163.0,10.2,7.3%
48,3.0,Justin Tucker (BAL),28.0,29.0,96.6,51.0,0.0,8.0,9.0,10.0,1.0,57.0,59.0,16.0,153.0,9.6,99.9%
49,4.0,Matt Gay (LAR),27.0,35.0,77.1,58.0,0.0,6.0,5.0,11.0,5.0,43.0,48.0,16.0,145.0,9.1,98.0%
50,5.0,Zane Gonzalez (CAR),31.0,35.0,88.6,54.0,0.0,12.0,12.0,5.0,2.0,34.0,35.0,16.0,136.0,8.5,0.1%
51,6.0,Josh Lambo (FA),33.0,34.0,97.1,56.0,0.0,12.0,9.0,8.0,4.0,19.0,20.0,16.0,134.0,8.4,0.0%
52,7.0,Matt Prater (ARI),26.0,31.0,83.9,56.0,0.0,11.0,2.0,6.0,7.0,35.0,36.0,16.0,133.0,8.3,76.5%
53,8.0,Dan Bailey (FA),27.0,29.0,93.1,50.0,0.0,10.0,9.0,5.0,3.0,40.0,44.0,16.0,132.0,8.3,0.0%
54,9.0,Brandon McManus (DEN),29.0,34.0,85.3,53.0,0.0,6.0,8.0,11.0,4.0,25.0,26.0,16.0,131.0,8.2,69.1%
55,10.0,Greg Zuerlein (NYJ),24.0,33.0,72.7,58.0,0.0,7.0,7.0,5.0,5.0,42.0,42.0,16.0,129.0,8.1,2.0%
56,11.0,Chris Boswell (PIT),29.0,31.0,93.5,51.0,1.0,11.0,7.0,9.0,1.0,28.0,28.0,16.0,126.0,7.9,11.2%
57,12.0,Joey Slye (WAS),25.0,32.0,78.1,55.0,0.0,3.0,5.0,6.0,8.0,31.0,35.0,16.0,119.0,7.4,1.3%
58,13.0,Randy Bullock (TEN),27.0,31.0,87.1,57.0,0.0,10.0,6.0,10.0,1.0,24.0,25.0,16.0,117.0,7.3,2.8%
59,14.0,Jason Myers (SEA),23.0,28.0,82.1,54.0,0.0,6.0,11.0,4.0,2.0,40.0,44.0,16.0,117.0,7.3,1.0%
60,15.0,Robbie Gould (SF),23.0,31.0,74.2,47.0,0.0,9.0,8.0,6.0,0.0,41.0,42.0,13.0,116.0,8.9,38.2%
61,16.0,Austin Seibert (DET),25.0,29.0,86.2,53.0,0.0,6.0,9.0,9.0,1.0,30.0,35.0,16.0,116.0,7.3,0.9%
62,17.0,Jason Sanders (MIA),23.0,30.0,76.7,54.0,0.0,7.0,8.0,5.0,3.0,29.0,30.0,16.0,115.1,7.2,5.0%
63,18.0,Mason Crosby (GB),22.0,24.0,91.7,54.0,1.0,2.0,11.0,7.0,1.0,40.0,41.0,16.0,115.0,7.2,4.8%
64,19.0,Ka'imi Fairbairn (HOU),20.0,25.0,80.0,54.0,0.0,5.0,8.0,4.0,3.0,40.0,45.0,16.0,110.0,6.9,0.3%
65,20.0,Jake Elliott (PHI),22.0,26.0,84.6,53.0,0.0,7.0,8.0,5.0,2.0,35.0,37.0,16.0,109.0,6.8,25.7%
66,21.0,Dustin Hopkins (LAC),25.0,30.0,83.3,53.0,0.0,7.0,8.0,8.0,2.0,21.0,22.0,16.0,108.0,6.8,32.5%
67,22.0,Brett Maher (DAL),20.0,30.0,66.7,63.0,0.0,9.0,6.0,1.0,4.0,36.0,36.0,13.0,105.0,8.1,1.3%
68,23.0,Stephen Hauschka (FA),22.0,28.0,78.6,51.0,0.0,5.0,7.0,8.0,1.0,30.0,32.0,16.0,103.0,6.4,0.0%
69,24.0,Eddy Pineiro (CAR),23.0,28.0,82.1,53.0,1.0,8.0,9.0,3.0,2.0,27.0,29.0,16.0,103.0,6.4,0.2%
70,25.0,Daniel Carlson (LV),19.0,26.0,73.1,48.0,0.0,8.0,5.0,6.0,0.0,34.0,36.0,16.0,97.0,6.1,96.5%
71,26.0,Sam Ficken (FA),19.0,27.0,70.4,54.0,0.0,2.0,7.0,7.0,3.0,23.0,26.0,15.0,93.0,6.2,0.0%
72,27.0,Younghoe Koo (ATL),23.0,26.0,88.5,50.0,0.0,6.0,9.0,7.0,1.0,15.0,16.0,8.0,93.0,11.6,23.0%
73,28.0,Chase McLaughlin (FA),18.0,23.0,78.3,50.0,1.0,5.0,4.0,5.0,3.0,26.0,26.0,11.0,91.0,8.3,0.0%
74,29.0,Adam Vinatieri (FA),17.0,25.0,68.0,55.0,0.0,6.0,6.0,3.0,2.0,22.0,28.0,12.0,80.0,6.7,0.2%
75,30.0,Aldrick Rosas (DET),12.0,17.0,70.6,45.0,0.0,6.0,5.0,1.0,0.0,35.0,39.0,16.0,72.0,4.5,0.0%
76,31.0,Michael Badgley (FA),13.0,16.0,81.3,49.0,0.0,5.0,2.0,6.0,0.0,19.0,19.0,9.0,64.0,7.1,15.6%
77,32.0,Nick Folk (NE),14.0,17.0,82.4,51.0,1.0,5.0,3.0,4.0,1.0,12.0,12.0,7.0,60.0,8.6,70.6%
78,33.0,Kai Forbath (LAR),11.0,11.0,100.0,50.0,0.0,2.0,1.0,7.0,1.0,11.0,12.0,5.0,53.0,10.6,3.0%
79,34.0,Matt Bryant (FA),9.0,14.0,64.3,52.0,0.0,1.0,3.0,3.0,2.0,14.0,15.0,8.0,48.0,6.0,1.1%
80,35.0,Ty Long (FA),7.0,9.0,77.8,51.0,0.0,0.0,2.0,4.0,1.0,9.0,9.0,16.0,36.0,2.3,0.7%
81,36.0,Stephen Gostkowski (FA),7.0,8.0,87.5,41.0,0.0,2.0,3.0,1.0,0.0,11.0,15.0,4.0,30.0,7.5,0.0%
82,37.0,Mike Nugent (FA),5.0,8.0,62.5,37.0,0.0,3.0,2.0,0.0,0.0,15.0,16.0,5.0,30.0,6.0,1.0%
83,38.0,Cairo Santos (CHI),4.0,9.0,44.4,53.0,0.0,0.0,1.0,2.0,1.0,12.0,12.0,5.0,28.0,5.6,1.0%
84,39.0,Ryan Succop (TB),1.0,6.0,16.7,31.0,0.0,0.0,1.0,0.0,0.0,24.0,25.0,7.0,27.0,3.9,39.5%
85,40.0,Cody Parkey (FA),3.0,3.0,100.0,51.0,0.0,0.0,0.0,2.0,1.0,5.0,6.0,4.0,18.0,4.5,0.0%
86,41.0,Greg Joseph (MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,9.0,3.0,49.2%
87,42.0,Kaare Vedvik (FA),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2%
88,43.0,Ryan Santoso (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1%
89,44.0,Matt McCrane (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
90,45.0,Kasey Redfern (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0%
91,46.0,Sebastian Janikowski (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0%
92,47.0,Graham Gano (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.7%
93,48.0,Michael Palardy (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,33.3%
94,49.0,Caleb Sturgis (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
95,50.0,Giorgio Tavecchio (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0%
96,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,
98,1.0,Ka'imi Fairbairn (HOU),37.0,42.0,88.1,54.0,1.0,9.0,11.0,12.0,4.0,39.0,41.0,16.0,170.0,10.6,0.3%
99,2.0,Justin Tucker (BAL),35.0,39.0,89.7,56.0,0.0,12.0,9.0,9.0,5.0,36.0,37.0,16.0,160.0,10.0,99.9%
100,3.0,Wil Lutz (NO),28.0,30.0,93.3,54.0,1.0,5.0,9.0,11.0,2.0,52.0,53.0,16.0,151.0,9.4,7.3%
101,4.0,Jason Myers (SEA),33.0,36.0,91.7,56.0,0.0,4.0,13.0,10.0,6.0,30.0,33.0,16.0,151.0,9.4,1.0%
102,5.0,Harrison Butker (KC),24.0,27.0,88.9,54.0,0.0,9.0,7.0,6.0,2.0,65.0,69.0,16.0,147.0,9.2,97.6%
103,6.0,Mason Crosby (GB),30.0,37.0,81.1,53.0,0.0,4.0,10.0,11.0,5.0,34.0,36.0,16.0,145.0,9.1,4.8%
104,7.0,Aldrick Rosas (DET),32.0,33.0,97.0,57.0,0.0,9.0,13.0,6.0,4.0,31.0,32.0,16.0,141.0,8.8,0.0%
105,8.0,Robbie Gould (SF),33.0,34.0,97.1,53.0,0.0,9.0,13.0,9.0,2.0,27.0,29.0,16.0,139.0,8.7,38.2%
106,9.0,Brett Maher (DAL),29.0,36.0,80.6,62.0,0.0,10.0,6.0,7.0,6.0,32.0,33.0,16.0,138.0,8.6,1.3%
107,10.0,Stephen Gostkowski (FA),27.0,32.0,84.4,52.0,0.0,11.0,10.0,4.0,2.0,49.0,50.0,16.0,138.0,8.6,0.0%
108,11.0,Matt Prater (ARI),28.0,32.0,87.5,54.0,0.0,8.0,12.0,5.0,3.0,30.0,30.0,16.0,129.3,8.1,76.5%
109,12.0,Greg Zuerlein (NYJ),27.0,31.0,87.1,56.0,0.0,9.0,10.0,4.0,4.0,35.0,36.0,11.0,128.0,11.6,2.0%
110,13.0,Sebastian Janikowski (FA),22.0,27.0,81.5,56.0,0.0,2.0,9.0,8.0,3.0,48.0,51.0,16.0,128.0,8.0,20.0%
111,14.0,Adam Vinatieri (FA),23.0,27.0,85.2,54.0,0.0,8.0,6.0,5.0,4.0,44.0,47.0,16.0,126.0,7.9,0.2%
112,15.0,Cody Parkey (FA),23.0,30.0,76.7,50.0,0.0,6.0,7.0,9.0,1.0,42.0,45.0,16.0,122.0,7.6,0.0%
113,16.0,Jake Elliott (PHI),26.0,31.0,83.9,56.0,0.0,7.0,10.0,7.0,2.0,33.0,35.0,16.0,122.0,7.6,25.7%
114,17.0,Dustin Hopkins (LAC),26.0,29.0,89.7,56.0,0.0,5.0,7.0,10.0,4.0,25.0,26.0,16.0,121.0,7.6,32.5%
115,18.0,Ryan Succop (TB),26.0,30.0,86.7,54.0,0.0,5.0,13.0,5.0,3.0,28.0,31.0,16.0,117.0,7.3,39.5%
116,19.0,Matt Bryant (FA),20.0,21.0,95.2,57.0,0.0,4.0,5.0,7.0,4.0,33.0,35.0,13.0,108.0,8.3,1.1%
117,20.0,Brandon McManus (DEN),20.0,25.0,80.0,53.0,0.0,5.0,6.0,7.0,2.0,35.0,35.0,16.0,106.0,6.6,69.1%
118,21.0,Randy Bullock (TEN),19.0,23.0,82.6,51.0,0.0,4.0,7.0,6.0,2.0,39.0,41.0,16.0,106.0,6.6,2.8%
119,22.0,Stephen Hauschka (FA),22.0,28.0,78.6,54.0,0.0,3.0,8.0,7.0,4.0,25.0,26.0,16.0,106.0,6.6,0.0%
